bug_id,rank_values,same_rank,same_top10,exam_range
brotli-fill-bit-window-panic,dstar2:21;ochiai:21;tarantula:21,True,True,0.000000
bytemuck-bytes-of-zst,dstar2:8;ochiai:8;tarantula:8,True,True,0.000000
cargo-metadata-root-package-no-deps,dstar2:6;ochiai:6;tarantula:6,True,True,0.000000
chrono-round-zero,dstar2:148;ochiai:155;tarantula:155,False,True,0.001679
fixedbitset-count-ones-even-block,dstar2:28;ochiai:28;tarantula:28,True,True,0.000000
gimli-dwarf-indirect-implicit-const,dstar2:142;ochiai:142;tarantula:142,True,True,0.000000
md5-length-overflow,dstar2:20;ochiai:20;tarantula:20,True,True,0.000000
nom-count-zero-sized,dstar2:13;ochiai:13;tarantula:13,True,True,0.000000
num-bigint-lcm-zero-panic,dstar2:16;ochiai:16;tarantula:16,True,True,0.000000
proc-macro2-cooked-byte-utf8,dstar2:7;ochiai:7;tarantula:7,True,True,0.000000
proc-macro2-source-text-byte-offset,dstar2:63;ochiai:63;tarantula:63,True,True,0.000000
rand-weighted-index-nan,dstar2:15;ochiai:15;tarantula:15,True,True,0.000000
regex-literal-optimization-bug,dstar2:7;ochiai:7;tarantula:7,True,True,0.000000
regex-unicode-boundary-compile,dstar2:144;ochiai:144;tarantula:144,True,True,0.000000
rust-url-anarchist-roundtrip,dstar2:39;ochiai:39;tarantula:39,True,True,0.000000
rust-url-file-set-path-panic,dstar2:67;ochiai:67;tarantula:67,True,True,0.000000
rust-url-roundtrip-control-host,dstar2:10;ochiai:10;tarantula:10,True,True,0.000000
rust-url-username-oob-slicing,dstar2:93;ochiai:93;tarantula:93,True,True,0.000000
rustc-demangle-long-symbol-panic,dstar2:11;ochiai:11;tarantula:11,True,True,0.000000
serde-json-i32-min-exponent,dstar2:82;ochiai:82;tarantula:82,True,True,0.000000
strsim-jaro-single-char-panic,dstar2:5;ochiai:5;tarantula:5,True,True,0.000000
syn-float-e-suffix-panic,dstar2:6;ochiai:6;tarantula:6,True,True,0.000000
syn-qualified-path-span-panic,dstar2:309;ochiai:309;tarantula:309,True,True,0.000000
time-negative-year-weekday,dstar2:108;ochiai:108;tarantula:108,True,True,0.000000
tinytemplate-malformed-closing-tag,dstar2:112;ochiai:112;tarantula:112,True,True,0.000000
toml-float-overflow,dstar2:6;ochiai:6;tarantula:6,True,True,0.000000
toml-key-despan-release,dstar2:155;ochiai:155;tarantula:155,True,True,0.000000
toml-unit-variant-map-key,dstar2:8;ochiai:8;tarantula:8,True,True,0.000000
